eval_runtime,eval_balanced_accuracy,epoch,eval_f1_score,eval_loss,eval_recall,eval_precision,eval_samples_per_second,eval_accuracy,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
1.1682,0.5418074675854947,5.0,0.824340770791075,0.5361915230751038,0.9699284009546539,0.7167548500881834,2568.974,0.7114295234921693,80.468,27.8459,35.912,0.18,0.4610589981079102
1.03,0.676160784375708,4.62,0.7858197932053177,0.6097224950790405,0.7618138424821003,0.8113879003558719,2913.688,0.7100966344551816,91.265,11.9802,166.943,0.417,0.9139933586120605
0.992,0.7505782189276475,4.84,0.8622698671638312,0.45370957255363464,0.883054892601432,0.8424408014571949,3025.215,0.8030656447850717,94.758,13.3687,224.405,0.748,0.6159182071685791
0.9922,0.785943352984874,4.96,0.8790227859995302,0.40704888105392456,0.8930787589498806,0.8654024051803886,3024.642,0.8283905364878373,94.741,14.6915,272.265,1.021,0.5420147101084392
1.027,0.7938632400280285,5.0,0.878500237304224,0.395516961812973,0.8835322195704057,0.8735252477583766,2922.094,0.8293902032655781,91.528,16.4769,303.455,1.214,0.5088167190551758
0.9972,0.7966671408325299,4.84,0.8767319636884855,0.39879700541496277,0.8758949880668258,0.8775705404112865,3009.473,0.8280573142285905,94.265,17.8236,336.633,1.122,0.6267977952957153
1.0255,0.8000829790260633,4.91,0.8801524898737194,0.3814956247806549,0.8816229116945108,0.878686964795433,2926.419,0.8323892035988004,91.664,19.3052,362.597,1.295,0.5808576726913453
1.0015,0.8017831270711828,4.96,0.8779669144090145,0.3827878534793854,0.8739856801909308,0.8819845857418112,2996.456,0.8303898700433189,93.858,20.466,390.891,1.466,0.5264959494272868
0.992,0.8060940850442819,4.98,0.8840200047630389,0.3773154318332672,0.8859188544152745,0.8821292775665399,3025.26,0.8377207597467511,94.76,22.3083,403.437,1.569,0.5133263179234095
1.0383,0.8029319255875705,4.89,0.8821147892355323,0.3792322278022766,0.8840095465393795,0.8802281368821293,2890.361,0.8350549816727757,90.534,23.5965,423.792,1.483,0.5619131122316633
1.0286,0.8006498706580896,4.93,0.8815977175463624,0.3825419247150421,0.8849642004773269,0.8782567503552818,2917.585,0.834055314895035,91.387,24.9549,440.795,1.603,0.5523282945156097
1.018,0.7982932663178913,4.96,0.881404174573055,0.3808319866657257,0.886873508353222,0.876001885902876,2948.02,0.8333888703765412,92.341,26.4938,452.935,1.699,0.5431099282370673
1.0405,0.804692134642031,4.98,0.8848801329219084,0.3834727704524994,0.8897374701670644,0.8800755429650614,2884.065,0.8383872042652449,90.337,28.2823,459.651,1.768,0.5300003242492676
1.0253,0.8006949164150954,5.0,0.8852691218130312,0.4065547585487366,0.8949880668257757,0.8757589911256423,2926.9,0.838053982005998,91.679,29.7432,470.696,1.849,0.5047652678056197
1.0244,0.8019027222389059,4.94,0.8813720819437827,0.3965360224246979,0.883054892601432,0.879695672848312,2929.601,0.834055314895035,91.764,30.9839,484.123,1.775,0.5431772383776579
1.0359,0.7942960480909556,4.96,0.8818117480537863,0.41574352979660034,0.8921241050119332,0.8717350746268657,2896.917,0.8330556481172943,90.74,32.5042,492.244,1.846,0.5193169514338175
1.0091,0.8009780988056289,4.97,0.8827717133364975,0.40573829412460327,0.8878281622911695,0.877772534214252,2973.968,0.8353882039320226,93.153,33.9053,501.396,1.917,0.5209260482054491
0.9861,0.802589209038655,4.99,0.8861596598960794,0.41084539890289307,0.8954653937947494,0.8770453482935952,3043.258,0.8393868710429857,95.324,35.602,505.589,1.966,0.5197553839002337
1.036,0.8098231361330193,4.94,0.8873574144486691,0.41687002778053284,0.8911694510739857,0.8835778513961192,2896.801,0.842052649116961,90.736,36.3702,522.405,1.925,0.5349339723587037
1.0237,0.801604524596037,4.96,0.8826603325415677,0.4043474793434143,0.886873508353222,0.8784869976359339,2931.453,0.8353882039320226,91.822,38.3001,522.192,1.958,0.5414956617355347
0.9938,0.8048712639681361,4.97,0.8866808611308257,0.40897002816200256,0.894510739856802,0.8789868667917449,3019.717,0.8403865378207265,94.586,40.0027,524.964,2.0,0.529856476187706
1.0286,0.8106437065018677,4.99,0.890255439924314,0.434739887714386,0.8983293556085918,0.8823253633380216,2917.493,0.8453848717094302,91.384,41.36,531.915,2.055,0.5145521570654477
1.0189,0.8037825264610894,5.0,0.8874734607218683,0.42144566774368286,0.8978520286396181,0.8773320895522388,2945.451,0.8410529823392202,92.26,42.9528,535.472,2.095,0.517090990808275
1.0096,0.8082125527509523,4.96,0.8903560481018628,0.43727147579193115,0.9011933174224344,0.8797763280521901,2972.603,0.8450516494501833,93.111,43.7982,547.968,2.055,0.5283845848507351
1.0206,0.8083766668247219,4.97,0.8909305064782097,0.4049241840839386,0.9026252983293556,0.8795348837209302,2940.509,0.8457180939686771,92.105,45.6736,547.362,2.08,0.5283910676052695
0.9963,0.8037380075550428,4.98,0.8901923979352416,0.4071647822856903,0.9054892601431981,0.8754037840332256,3012.239,0.8440519826724425,94.352,47.5485,546.811,2.103,0.534223735332489
1.0287,0.809554968994821,4.99,0.8910377358490565,0.39785197377204895,0.9016706443914081,0.8806526806526807,2917.208,0.8460513162279241,91.375,49.0052,550.962,2.143,0.5345378376188732
1.0786,0.812881242525302,4.96,0.8934967012252591,0.4017558991909027,0.9050119331742243,0.8822708236389019,2782.231,0.8493835388203932,87.148,52.2429,535.958,2.01,0.5468097334816342
1.0659,0.8119861227457366,4.97,0.8909392003785191,0.41060736775398254,0.8988066825775657,0.8832082551594747,2815.542,0.846384538487171,88.191,54.1421,535.627,2.032,0.537811151417819
1.075,0.8113001627969464,4.98,0.8925541941564562,0.42560988664627075,0.9040572792362769,0.8813401582131224,2791.579,0.8480506497834055,87.44,55.5498,540.056,2.07,0.5245649130448051
1.0807,0.8122398014825586,4.99,0.8924020764511563,0.43610015511512756,0.9026252983293556,0.8824078394773682,2776.853,0.8480506497834055,86.979,57.2901,541.106,2.095,0.5156009932359059
1.1311,0.8140445294430658,5.0,0.892409553085836,0.44785332679748535,0.9007159904534606,0.8842549203373946,2653.154,0.8483838720426524,83.104,59.3514,539.161,2.106,0.5088710641860962
1.0965,0.8213084870421007,4.97,0.8960454653090221,0.4406167268753052,0.9031026252983294,0.8890977443609023,2736.96,0.8537154281906031,85.73,60.8224,542.564,2.055,0.5216823682785034
1.097,0.8210253046515671,4.98,0.8984687868080096,0.4491161108016968,0.9102625298329355,0.8869767441860466,2735.685,0.8563812062645785,85.69,62.0919,547.575,2.094,0.5144968216235821
1.0755,0.818683188712745,4.99,0.8931623931623931,0.4305800199508667,0.8978520286396181,0.8885214926783184,2790.309,0.850049983338887,87.401,63.7342,549.156,2.118,0.5198299222522311
1.0824,0.8174153218795934,5.0,0.8921615201900237,0.4365089237689972,0.8964200477326969,0.8879432624113475,2772.575,0.8487170943018993,86.845,65.554,549.166,2.136,0.5167467457907541
1.0953,0.819667873155363,5.0,0.8966005665722381,0.44926220178604126,0.9064439140811456,0.8869687062120505,2739.965,0.85404865044985,85.824,67.1794,550.764,2.158,0.5090062610034285
1.0957,0.8279610341030625,4.97,0.9009690380524699,0.44469135999679565,0.9097852028639618,0.8923220973782772,2738.935,0.8603798733755414,85.791,68.4211,555.384,2.119,0.5217332083603431
1.0917,0.8178631451948559,4.98,0.8965842167255595,0.4429127871990204,0.9083532219570406,0.8851162790697674,2748.868,0.8537154281906031,86.103,70.2024,555.537,2.137,0.5194101699193319
1.0807,0.8246942947309636,4.99,0.8970099667774086,0.46514856815338135,0.9021479713603818,0.8919301557338367,2777.003,0.8553815394868377,86.984,72.2664,553.508,2.145,0.4986524151217553
1.0957,0.8193396450078237,5.0,0.8954588457899716,0.4666993319988251,0.9035799522673031,0.8874824191279888,2738.943,0.8527157614128624,85.792,75.1819,545.344,2.128,0.491854690015316
1.0277,0.8233368632347595,4.97,0.8951248513674197,0.4794493019580841,0.8983293556085918,0.8919431279620853,2919.975,0.8530489836721094,91.462,72.1186,582.374,2.219,0.4941371068358421
1.0472,0.8243215476773775,4.98,0.898557578623788,0.4568520188331604,0.9069212410501193,0.8903467666354264,2865.66,0.8570476507830723,89.761,74.7687,575.107,2.207,0.4975695248806115
1.0403,0.8201452001243368,4.99,0.8971212836243511,0.48567554354667664,0.9073985680190931,0.8870741950536631,2884.865,0.8547150949683439,90.362,76.841,572.611,2.212,0.48778465775882496
0.9865,0.824470646498812,4.99,0.8979398531849395,0.46732664108276367,0.9050119331742243,0.8909774436090225,3041.952,0.8563812062645785,95.283,77.7677,578.647,2.25,0.49485416344233923
1.0019,0.8176394969627042,5.0,0.8975082275505406,0.48733341693878174,0.911217183770883,0.8842056507642427,2995.285,0.8547150949683439,93.821,78.9701,582.499,2.279,0.47674173646503026
0.9927,0.8195482779876401,4.98,0.8933238298883345,0.47267788648605347,0.8973747016706444,0.8893093661305582,3023.039,0.850383205598134,94.69,79.7371,589.437,2.257,0.4990113827917311
1.0427,0.8167593924354739,4.99,0.8961619967035556,0.484773188829422,0.9083532219570406,0.8842936802973977,2878.183,0.8530489836721094,90.153,80.8566,593.644,2.288,0.48091442584991456
1.0329,0.8255593840058586,4.99,0.8971740679173593,0.49551546573638916,0.9016706443914081,0.8927221172022685,2905.324,0.8557147617460846,91.003,83.3949,587.566,2.278,0.46713154315948485
1.0401,0.8272300283972667,5.0,0.89900426742532,0.4762629568576813,0.9050119331742243,0.8930758360810175,2885.42,0.8580473175608131,90.38,85.1882,586.936,2.289,0.4670629648061899
1.0325,0.8196528579030278,4.98,0.8954093705631804,0.4989020526409149,0.9031026252983294,0.8878460816518067,2906.584,0.8527157614128624,91.043,85.3646,597.437,2.284,0.4722887314282931
1.0311,0.8199810860505672,4.98,0.8965517241379309,0.4775758385658264,0.9059665871121718,0.887330528284245,2910.448,0.85404865044985,91.164,87.8577,591.866,2.276,0.46481909275054933
1.0255,0.8206670459993572,4.99,0.8949490158880721,0.5039706826210022,0.9007159904534606,0.8892554194156456,2926.386,0.8523825391536155,91.663,88.6875,597.604,2.311,0.4582912770713248
1.0328,0.8227104374443515,4.99,0.8952245188880971,0.5026174783706665,0.8992840095465394,0.89120151371807,2905.622,0.8530489836721094,91.012,90.7768,594.865,2.313,0.44748487245468865
1.0132,0.8229195972751269,5.0,0.8993636577893,0.5048560500144958,0.9107398568019093,0.888268156424581,2961.963,0.8577140953015662,92.777,92.3619,595.484,2.328,0.446326983252237
1.0153,0.8215471505265876,4.98,0.8963068181818181,0.4834926426410675,0.9035799522673031,0.8891498356035697,2955.826,0.85404865044985,92.585,93.5359,598.701,2.299,0.45498040554135344
1.0402,0.8213235022944358,4.99,0.8972360028348688,0.4948629140853882,0.9064439140811456,0.8882132834424696,2885.117,0.8550483172275908,90.37,95.2741,598.274,2.309,0.44848581119017167
1.0182,0.8255743992581939,4.99,0.898365316275764,0.501685619354248,0.9050119331742243,0.8918156161806209,2947.419,0.8570476507830723,92.322,96.7131,599.712,2.326,0.4331740434964498
1.0373,0.828303750651978,5.0,0.8970448045757865,0.48873162269592285,0.8983293556085918,0.8957639219419324,2893.065,0.8560479840053316,90.619,97.7843,603.369,2.352,0.43560366215913193
0.9964,0.8238442207084038,4.98,0.898036432458008,0.4859373867511749,0.9059665871121718,0.8902439024390244,3011.783,0.8563812062645785,94.338,98.8322,607.09,2.327,0.43942980040674623
1.0312,0.8230831844979374,4.98,0.893657606103958,0.5049368143081665,0.894510739856802,0.8928060981419723,2910.114,0.8513828723758747,91.153,100.1485,609.095,2.347,0.4299389276098698
